wav,T
3200.0,0.2236660149466176
3250.0,0.26989820734720155
3300.0,0.3056328280365968
3350.0,0.3338873767251229
3400.0,0.35727283815192895
3450.0,0.3791403441833065
3500.0,0.39902490236214194
3571.0,0.42638311690007885
3636.0,0.45185594437492244
3704.0,0.4795125740813502
3862.0,0.5296634438916578
4036.0,0.5786287388179521
4167.0,0.6148936385126265
4255.0,0.6382634861905486
4464.0,0.6801426356038563
4566.0,0.6991977144514595
4785.0,0.7237690370745289
5000.0,0.755440040567619
5263.0,0.7712585649892139
5556.0,0.7830689431433752
5840.0,0.7950601750844198
6056.0,0.801678063387679
6436.0,0.8437232172118299
6790.0,0.8733734791423201
7100.0,0.8782132798980061
7550.0,0.8953647655495939
7780.0,0.9003264310597225
8090.0,0.8953647655495939
8370.0,0.8990834429518028
8708.0,0.9242724327301167
9832.0,0.8953647655495939
10256.0,0.9332543007969911
10400.0,0.9319658525658421
10610.0,0.9293942901315804
10796.0,0.9255502447634357
10870.0,0.915377008362352
