wav,GPb
7789.999999999998,0.595929448
7799.999999999998,0.592399976
7809.999999999998,0.589922928
7819.999999999998,0.588498932
7829.999999999998,0.586177867
7839.999999999998,0.582739383
7849.999999999998,0.579941538
7859.999999999998,0.577515441
7869.999999999998,0.574941869
7879.999999999998,0.57257319
7889.999999999998,0.570267159
7899.999999999998,0.567402553
7909.999999999998,0.564846737
7919.999999999998,0.56259101
7929.999999999998,0.560125763
7939.999999999998,0.557100029
7949.999999999998,0.553910813
7959.999999999998,0.55119975
7969.999999999998,0.548455714
7979.999999999998,0.545932611
7989.999999999998,0.542721649
7999.999999999998,0.539583616
8009.999999999998,0.53647676
8019.999999999998,0.533862789
8029.999999999998,0.531436326
8039.999999999998,0.52840388
8049.999999999998,0.525122912
8059.999999999998,0.521778073
8069.999999999998,0.519067752
8079.999999999998,0.515840113
8089.999999999998,0.513186641
8099.999999999998,0.510092228
8109.999999999998,0.507382387
8119.999999999998,0.503885556
8129.999999999998,0.50211559
8139.999999999998,0.499224107
8149.999999999998,0.49597151
8159.999999999998,0.491996429
8169.999999999998,0.488823768
8179.999999999998,0.486045767
8189.999999999998,0.482688992
8199.999999999998,0.4791254
8209.999999999998,0.475897338
8219.999999999998,0.473142654
8229.999999999998,0.469907593
8239.999999999998,0.466919323
8249.999999999998,0.463232702
8259.999999999998,0.459884631
8269.999999999998,0.456889113
8279.999999999998,0.453346951
8289.999999999998,0.45004578
8299.999999999998,0.447393833
8309.999999999998,0.444309807
8319.999999999998,0.441085939
8329.999999999998,0.438000883
8339.999999999998,0.435105537
8349.999999999998,0.432121809
8359.999999999998,0.428620861
8369.999999999998,0.424482653
8379.999999999998,0.421066579
8389.999999999998,0.418041166
8399.999999999998,0.414784905
8409.999999999998,0.410985509
8419.999999999998,0.407626467
8429.999999999998,0.404648726
8439.999999999998,0.402525287
8449.999999999998,0.398521565
8459.999999999998,0.394418335
8469.999999999998,0.390756327
8479.999999999998,0.387320969
8489.999999999998,0.384182575
8499.999999999998,0.38035191
8509.999999999998,0.37717709
8519.999999999998,0.374020127
8529.999999999998,0.370148583
8539.999999999998,0.366996318
8549.999999999998,0.364135266
8559.999999999998,0.360849931
8569.999999999998,0.357884173
8579.999999999998,0.353910876
8589.999999999998,0.349887801
8599.999999999998,0.347263747
8609.999999999998,0.343570151
8619.999999999998,0.341020516
8629.999999999998,0.337872504
8639.999999999998,0.334147192
8649.999999999998,0.330135408
8659.999999999998,0.327489043
8669.999999999998,0.323644477
8679.999999999998,0.318944273
8689.999999999998,0.316843391
8699.999999999998,0.313995072
8709.999999999998,0.310184285
8719.999999999998,0.306793674
8729.999999999998,0.304739258
8739.999999999998,0.301508837
8749.999999999998,0.2978234
8759.999999999998,0.294744663
8769.999999999998,0.291236311
8779.999999999998,0.287749108
8789.999999999998,0.283898442
8799.999999999998,0.280491684
8809.999999999998,0.277753035
8819.999999999998,0.274883831
8829.999999999998,0.271422986
8839.999999999998,0.267856627
8849.999999999998,0.264606752
8859.999999999998,0.261455674
8869.999999999998,0.258601267
8879.999999999998,0.25605039
8889.999999999998,0.252764468
8899.999999999998,0.249470941
8909.999999999998,0.246164578
8919.999999999998,0.242695811
8929.999999999998,0.239475017
8939.999999999998,0.236928652
8949.999999999998,0.233626713
8959.999999999998,0.230619554
8969.999999999998,0.227896049
8979.999999999998,0.2245876
8989.999999999998,0.221176759
8999.999999999998,0.218314877
9009.999999999998,0.215486395
9019.999999999998,0.212462553
9029.999999999998,0.209351058
9039.999999999998,0.206526022
9049.999999999998,0.203620957
9059.999999999998,0.200906225
9069.999999999998,0.197864533
9079.999999999998,0.195053221
9089.999999999998,0.19255259
9099.999999999998,0.189578109
9109.999999999998,0.186409222
9119.999999999998,0.183406018
9129.999999999998,0.18069764
9139.999999999998,0.178273497
9149.999999999998,0.175677222
9159.999999999998,0.172996955
9169.999999999998,0.170346904
9179.999999999998,0.167375209
9189.999999999998,0.164513615
9199.999999999998,0.162072087
9209.999999999998,0.159580389
9219.999999999998,0.156851728
9229.999999999998,0.154259129
9239.999999999998,0.151670819
9249.999999999998,0.149021982
9259.999999999998,0.146366087
9269.999999999998,0.143985377
9279.999999999998,0.141630826
9289.999999999998,0.139368431
9299.999999999998,0.137119296
9309.999999999998,0.134531623
9319.999999999998,0.132145238
