wav, QE
4004.5512985343275, 0.6926425977104567
4081.0555412702493, 0.7327888186730976
4138.6024685009, 0.7705234499228408
4206.2355361275395, 0.8020384094069601
4288.660323990744, 0.8365517200913001
4383.929030599125, 0.8724439202708492
4493.623039341733, 0.9027970920100689
4601.697094368732, 0.9132179760249256
4716.520956544098, 0.9037417780046589
4855.4127024942145, 0.8940543458489558
4967.806634096169, 0.8924231489141979
5150.032141938802, 0.8903577484788209
5338.332476214965, 0.8699325811051066
5546.670095140139, 0.8276681511732296
5801.46567240936, 0.7759040527615929
6066.964515299563, 0.7133318077534663
6425.282849061456, 0.6180417422122082
6993.01877089226, 0.4742793102031955
7455.804834147595, 0.36700757509080134
7965.164566726665, 0.28217946686851264
8444.593725893545, 0.2122257623498624
8619.008742607355, 0.18552224706179185
8821.040113139625, 0.16493865408650038
9009.494728722037, 0.13831728540665506
9103.702751349962, 0.1322560392426083
9342.472357932631, 0.09653399989438294
9543.481614811004, 0.08569064760865357
9726.47852918488, 0.059832068862328155
9912.213936744665, 0.05519078549760308
10008.832604782721, 0.04603143868049077
